SampleID,SubjectID,TaxonLabel,Proportion
AM.Day1.4x3d,Subject 3,Actinobacteria Actinomyces,0.072432089965946
AM.Day1.4x3d,Subject 3,Actinobacteria Rothia,0.006969192999128851
AM.Day1.4x3d,Subject 3,Bacteroidetes Porphyromonas,0.01357408727330324
AM.Day1.4x3d,Subject 3,Bacteroidetes Prevotella,0.052649085293418864
AM.Day1.4x3d,Subject 3,Firmicutes Gemellaceae,0.029666587471291677
AM.Day1.4x3d,Subject 3,Firmicutes Granulicatella,0.017106200997861726
AM.Day1.4x3d,Subject 3,Firmicutes Streptococcus,0.39876455215015444
AM.Day1.4x3d,Subject 3,Firmicutes Veillonella,0.08054169636493229
AM.Day1.4x3d,Subject 3,Fusobacteria Fusobacterium,0.05369446424328819
AM.Day1.4x3d,Subject 3,Fusobacteria Leptotrichia,0.06742694226657163
AM.Day1.4x3d,Subject 3,Proteobacteria Haemophilus,0.012576225548427971
AM.Day1.4x3d,Subject 3,Proteobacteria Neisseria,0.06589055199176368
AM.Day1.4x3d,Subject 3,Other,0.12870832343391145
AM.Day1.80x9d,Subject 3,Actinobacteria Actinomyces,0.057693125292291994
AM.Day1.80x9d,Subject 3,Actinobacteria Rothia,0.005541147626943299
AM.Day1.80x9d,Subject 3,Bacteroidetes Porphyromonas,0.019826254552669245
AM.Day1.80x9d,Subject 3,Bacteroidetes Prevotella,0.10990178988988564
AM.Day1.80x9d,Subject 3,Firmicutes Gemellaceae,0.015475532502869776
AM.Day1.80x9d,Subject 3,Firmicutes Granulicatella,0.014157561328174823
AM.Day1.80x9d,Subject 3,Firmicutes Streptococcus,0.23226053314059777
AM.Day1.80x9d,Subject 3,Firmicutes Veillonella,0.10531014837804516
AM.Day1.80x9d,Subject 3,Fusobacteria Fusobacterium,0.08735456258945906
AM.Day1.80x9d,Subject 3,Fusobacteria Leptotrichia,0.08327310346782309
AM.Day1.80x9d,Subject 3,Proteobacteria Haemophilus,0.014072530929807406
AM.Day1.80x9d,Subject 3,Proteobacteria Neisseria,0.05468871788330995
AM.Day1.80x9d,Subject 3,Other,0.2004449924181228
AM.Day1.RTx3d,Subject 3,Actinobacteria Actinomyces,0.11164029038712771
AM.Day1.RTx3d,Subject 3,Actinobacteria Rothia,0.008549552678143241
AM.Day1.RTx3d,Subject 3,Bacteroidetes Porphyromonas,0.01686758942302922
AM.Day1.RTx3d,Subject 3,Bacteroidetes Prevotella,0.04818838782226191
AM.Day1.RTx3d,Subject 3,Firmicutes Gemellaceae,0.042995816176349
AM.Day1.RTx3d,Subject 3,Firmicutes Granulicatella,0.019215822460352895
AM.Day1.RTx3d,Subject 3,Firmicutes Streptococcus,0.4654793206661044
AM.Day1.RTx3d,Subject 3,Firmicutes Veillonella,0.054422781167832515
AM.Day1.RTx3d,Subject 3,Fusobacteria Fusobacterium,0.005308329612541549
AM.Day1.RTx3d,Subject 3,Fusobacteria Leptotrichia,0.048519124869772286
AM.Day1.RTx3d,Subject 3,Proteobacteria Haemophilus,0.039638835144118666
AM.Day1.RTx3d,Subject 3,Proteobacteria Neisseria,0.015246977890228374
AM.Day1.RTx3d,Subject 3,Other,0.12392717170213821
AM.Day10.Fresh,Subject 3,Actinobacteria Actinomyces,0.0582355856600033
AM.Day10.Fresh,Subject 3,Actinobacteria Rothia,0.013368026873726527
AM.Day10.Fresh,Subject 3,Bacteroidetes Porphyromonas,0.10823145547662316
AM.Day10.Fresh,Subject 3,Bacteroidetes Prevotella,0.11414450134919324
AM.Day10.Fresh,Subject 3,Firmicutes Gemellaceae,0.08326449694366429
AM.Day10.Fresh,Subject 3,Firmicutes Granulicatella,0.027968225122528775
AM.Day10.Fresh,Subject 3,Firmicutes Streptococcus,0.2339267030122804
AM.Day10.Fresh,Subject 3,Firmicutes Veillonella,0.052838812709950986
AM.Day10.Fresh,Subject 3,Fusobacteria Fusobacterium,0.05148961947243791
AM.Day10.Fresh,Subject 3,Fusobacteria Leptotrichia,0.03195385208436588
AM.Day10.Fresh,Subject 3,Proteobacteria Haemophilus,0.03869981827193127
AM.Day10.Fresh,Subject 3,Proteobacteria Neisseria,0.04583126824164326
AM.Day10.Fresh,Subject 3,Other,0.14004763478165097
AM.Day2.4x2d,Subject 3,Actinobacteria Actinomyces,0.011904334398678494
AM.Day2.4x2d,Subject 3,Actinobacteria Rothia,0.001975078105361439
AM.Day2.4x2d,Subject 3,Bacteroidetes Porphyromonas,0.013394620605451216
AM.Day2.4x2d,Subject 3,Bacteroidetes Prevotella,0.010162674614859769
AM.Day2.4x2d,Subject 3,Firmicutes Gemellaceae,0.14010485869213918
AM.Day2.4x2d,Subject 3,Firmicutes Granulicatella,0.019535317987574963
AM.Day2.4x2d,Subject 3,Firmicutes Streptococcus,0.7149603188853377
AM.Day2.4x2d,Subject 3,Firmicutes Veillonella,0.013215068050418357
AM.Day2.4x2d,Subject 3,Fusobacteria Fusobacterium,0.014328293891622077
